N°,Nombre / Descripción, PRECIO POR UNIDAD X MAYOR,CANT. MINIMA X MAYOR, PRECIO X MAYOR,TOTAL,LINK DE PRODUCTOS
A,Acuarela Faber Castell Estuche X 12 Und, S/  10.14 ,3, S/  30.42 ," S/  5,716.66 ",https://clip.com.pe/producto/acuarela-faber-castell-estuche-x-12-und-357
,Acuarela Ove Grande X 8 Colores, S/  2.80 ,6, S/  16.80 ,,https://clip.com.pe/producto/acuarela-ove-grande-x-8-colores-39891
,Acuarelas Artesco 12 Colores, S/  6.87 ,4, S/  27.48 ,,https://clip.com.pe/producto/acuarelas-artesco-12-colores-74607
,Alfileres Artesco 28 Mm Caja X 50 Gr, S/  1.25 ,10, S/  12.50 ,,https://clip.com.pe/producto/alfileres-artesco-28-mm-caja-x-50-gr-2796
,Archivador Plastificado Ove A4 Negro Con Lomo Ancho, S/  3.80 ,6, S/  22.80 ,,https://clip.com.pe/producto/archivador-plastificado-ove-a4-negro-con-lomo-ancho-5000846
B,Block Cuadriculado Justus A4 5 Perforaciones 50 Hojas, S/  3.13 ,25, S/  78.25 ,,https://clip.com.pe/producto/block-cuadriculado-justus-a4-5-perforaciones-50-hojas-15692001
,Block De Dibujo Anillado 20H Justus, S/  3.77 ,25, S/  94.25 ,,https://clip.com.pe/producto/block-de-dibujo-anillado-loro-25-hojas-2523
,Block De Dibujo Empastado Ove 24 X 31.5 Cm 20 Hojas, S/  3.00 ,12, S/  36.00 ,,https://clip.com.pe/producto/block-de-dibujo-empastado-ove-24-x-315-cm-20-hojas-46461
,Block Escolar 80H Period Cuadr Libra, S/  1.18 ,25, S/  29.50 ,,https://clip.com.pe/producto/block-escolar-80h-period-cuadr-libra-5000118
,Bolígrafo Faber Castell 060 Azul, S/  0.87 ,12, S/  10.44 ,,https://clip.com.pe/producto/boligrafo-faber-castell-060-azul-15727001
,Bolígrafo Faber Castell 060 Negro, S/  0.87 ,12, S/  10.44 ,,https://clip.com.pe/producto/boligrafo-faber-castell-032-m-trilux-verde-5438
,Bolígrafo Faber Castell 060 Rojo, S/  0.87 ,12, S/  10.44 ,,https://clip.com.pe/producto/boligrafo-faber-castell-060-rojo-15727003
,Bolígrafo Faber Castell Trilux 031 Punta Fina Azul X 1 Und, S/  0.42 ,50, S/  21.00 ,,https://clip.com.pe/producto/boligrafo-faber-castell-032-m-trilux-azul-3664
,Bolígrafo Faber Castell Trilux 031 Punta Fina Negro X 1 Und, S/  0.42 ,50, S/  21.00 ,,https://clip.com.pe/producto/boligrafo-faber-castell-032-m-trilux-rojo-3666
,Bolígrafo Faber Castell Trilux 031 Punta Fina Rojo X 1 Und, S/  0.42 ,50, S/  21.00 ,,https://clip.com.pe/producto/boligrafo-faber-castell-032-m-trilux-negro-3665
