id,title,link,issues
Bolígrafo-faber-castell-060-negro,Bolígrafo Faber Castell 032-M Trilux Verde,https://clip.com.pe/producto/boligrafo-faber-castell-032-m-trilux-verde-5438,key_title_mismatch
Bolígrafo-faber-castell-trilux-031-punta-fina-azul-x-1-und,Bolígrafo Faber Castell 032-M Trilux Azul,https://clip.com.pe/producto/boligrafo-faber-castell-032-m-trilux-azul-3664,key_title_mismatch
Bolígrafo-faber-castell-trilux-031-punta-fina-negro-x-1-und,Bolígrafo Faber Castell 032-M Trilux Rojo,https://clip.com.pe/producto/boligrafo-faber-castell-032-m-trilux-rojo-3666,key_title_mismatch
Bolígrafo-faber-castell-trilux-031-punta-fina-rojo-x-1-und,Bolígrafo Faber Castell 032-M Trilux Negro,https://clip.com.pe/producto/boligrafo-faber-castell-032-m-trilux-negro-3665,key_title_mismatch
Bolígrafo-pilot-bp-sf-punta-fina-azul-x-1-und,Bolígrafo Faber Castell Trilux 031 Punta Fina Azul X 1 Und,https://clip.com.pe/producto/boligrafo-faber-castell-trilux-031-punta-fina-azul-x-1-und-15723001,key_title_mismatch
Bolígrafo-pilot-bp-sf-punta-fina-rojo-x-1-und,Bolígrafo Faber Castell Trilux 031 Punta Fina Azul X 1 Und,https://clip.com.pe/producto/boligrafo-faber-castell-trilux-031-punta-fina-azul-x-1-und-15723001,key_title_mismatch
Bolígrafo-pilot-bp-sf-punta-fina-verde-x-1-und,Bolígrafo 034 - Azul,https://clip.com.pe/producto/boligrafo-034-azul-15725001,key_title_mismatch
borrador-brocha-retractil-ice-caja-x24-artesco,Borrador Artesco Grande Blanco,https://clip.com.pe/producto/borrador-artesco-grande-blanco-1757,key_title_mismatch
cartulina-canson-150g-verde-amazonas,Cartulina Canson 150G Verde Manzana,https://clip.com.pe/producto/cartulina-canson-150g-verde-manzana-15907038,key_title_mismatch
cartulina-escolar-amarillo-intenso-150-gr-50-x-65-cm,Cartulina Canson 150G Amarillo Limo,https://clip.com.pe/producto/cartulina-canson-150g-amarillo-limo-15907004,key_title_mismatch
